epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9094,5.67211,5.87556,4.43091,0,0,0,0,5.84215,5.09372,4.15808,5e-05,5e-05,5e-05
2,24.0692,5.54468,5.79203,4.42645,0,0,0,0,5.84068,5.09073,4.15718,0.000108911,0.000108911,0.000108911
3,31.5411,5.39396,5.54888,4.31195,0,0,0,0,5.84089,5.09518,4.15871,0.000166634,0.000166634,0.000166634
4,38.5323,5.29347,5.32251,4.16163,0,0,0,0,5.84537,5.0992,4.16614,0.000223169,0.000223169,0.000223169
5,45.7119,5.02459,5.04811,4.00726,0,0,0,0,5.85864,5.11644,4.18006,0.000278516,0.000278516,0.000278516
6,52.9157,4.49961,4.3832,3.88209,0,0,0,0,5.87475,5.1428,4.20378,0.000332675,0.000332675,0.000332675
7,60.511,4.22452,4.18549,3.62318,0,0,0,0,5.89475,5.17094,4.23532,0.000385646,0.000385646,0.000385646
8,67.6862,4.07746,3.86006,3.41127,0,0,0,0,5.92381,5.05819,4.27932,0.000437429,0.000437429,0.000437429
9,74.7645,3.56547,3.58043,3.34843,0,0,0,0,5.95903,4.7061,4.3437,0.000488024,0.000488024,0.000488024
10,82.394,3.65676,3.38026,3.05201,0,0,0,0,6.00845,4.59539,4.44712,0.000537431,0.000537431,0.000537431
11,89.4912,3.37335,3.24469,3.13547,0,0,0,0,6.05529,4.59932,4.55104,0.00058565,0.00058565,0.00058565
12,96.6784,3.29285,3.02327,2.86651,0,0,0,0,6.061,4.61059,4.55719,0.000632681,0.000632681,0.000632681
13,103.836,3.17429,2.76795,2.64177,0,0,0,0,6.08386,4.61667,4.60308,0.000678524,0.000678524,0.000678524
14,111.354,3.02147,2.633,2.58701,0,0,0,0,6.10552,4.61816,4.64782,0.000723179,0.000723179,0.000723179
15,118.474,2.80082,2.47683,2.55462,0,0,0,0,6.09789,4.61519,4.62184,0.000766646,0.000766646,0.000766646
16,125.517,2.86219,2.34441,2.47819,0,0,0,0,6.10961,4.64445,4.6589,0.000808925,0.000808925,0.000808925
17,132.646,2.79181,2.16533,2.32687,0,0,0,0,6.08046,4.64927,4.59567,0.0008416,0.0008416,0.0008416
18,139.691,2.70991,2.16229,2.25555,0,0,0,0,6.06908,4.66758,4.63764,0.0008317,0.0008317,0.0008317
19,146.975,2.66299,2.1188,2.22786,0,0,0,0,5.81047,4.62395,4.41998,0.0008218,0.0008218,0.0008218
20,154.13,2.6355,2.04531,2.19616,0.04921,0.01012,0.02659,0.0093,5.06319,4.34786,3.76172,0.0008119,0.0008119,0.0008119
21,161.604,2.5745,1.95869,2.2037,0.0321,0.04237,0.02171,0.00953,4.3352,4.0827,3.34012,0.000802,0.000802,0.000802
22,168.687,2.5075,1.92373,2.13876,0.86129,0.07991,0.09332,0.03479,2.87378,3.17848,2.59516,0.0007921,0.0007921,0.0007921
23,175.665,2.43009,1.84118,2.06234,0.92716,0.04413,0.08321,0.03108,2.90894,3.08443,2.56234,0.0007822,0.0007822,0.0007822
24,182.601,2.40045,1.72643,1.99008,0.01749,0.19684,0.02614,0.01015,4.32575,3.55852,3.24808,0.0007723,0.0007723,0.0007723
25,189.358,2.38872,1.73639,2.06128,0.01698,0.23236,0.03635,0.01329,4.03588,3.39138,3.0777,0.0007624,0.0007624,0.0007624
26,196.303,2.33181,1.68776,1.95545,0.50579,0.12483,0.091,0.02923,3.66025,3.07682,2.87071,0.0007525,0.0007525,0.0007525
27,203.097,2.31362,1.69873,1.95194,0.85377,0.06009,0.13834,0.06026,3.37256,2.86958,2.6798,0.0007426,0.0007426,0.0007426
28,210.554,2.24427,1.59317,1.8782,0.52861,0.13442,0.17987,0.06538,3.07982,2.54453,2.47011,0.0007327,0.0007327,0.0007327
29,217.71,2.27324,1.60201,1.92337,0.53754,0.10341,0.17571,0.07222,3.116,2.43891,2.48359,0.0007228,0.0007228,0.0007228
30,224.976,2.25404,1.51971,1.86029,0.47283,0.25729,0.26745,0.09507,2.66537,1.88536,2.21539,0.0007129,0.0007129,0.0007129
31,232.065,2.265,1.59075,1.82026,0.52979,0.32704,0.3427,0.11381,2.50715,1.77189,2.12234,0.000703,0.000703,0.000703
32,239.101,2.17732,1.51405,1.79884,0.73778,0.47622,0.47185,0.15412,2.3497,1.66991,2.02488,0.0006931,0.0006931,0.0006931
33,246.143,2.2009,1.44548,1.78589,0.73691,0.50156,0.51014,0.20206,2.22531,1.5526,1.97706,0.0006832,0.0006832,0.0006832
34,253.133,2.1945,1.48886,1.84449,0.6524,0.6105,0.64298,0.27061,2.06048,1.3956,1.85254,0.0006733,0.0006733,0.0006733
